,case_identifier,inputstate_2016,healthcov2_2,educ_2016,marstat_2016,faminc_2016,presvote16post_2016
2835,38976890,Pennsylvania,,High school graduate,Married,"$80,000 - $99,999",Donald Trump
2836,39005684,California,,4-year,Married,Prefer not to say,Other
2837,39040292,Ohio,,High school graduate,Single,"$30,000 - $39,999",Hillary Clinton
2838,39044366,Texas,,4-year,Married,Prefer not to say,Hillary Clinton
2839,39065750,California,,Some college,Married,"$80,000 - $99,999",Hillary Clinton
2840,39077795,Virginia,,Post-grad,Married,"$80,000 - $99,999",Donald Trump
2841,39082664,Texas,,Some college,Married,"$100,000 - $119,999",Donald Trump
2842,39085520,Maine,,High school graduate,Married,"$30,000 - $39,999",Donald Trump
2843,39108926,Ohio,,Post-grad,Married,"$60,000 - $69,999",Donald Trump
2844,39120137,Montana,,4-year,Single,"$20,000 - $29,999",Gary Johnson
2845,39136685,Texas,,Some college,Married,"$100,000 - $119,999",Donald Trump
2846,39161879,Oregon,,4-year,Married,"$100,000 - $119,999",Hillary Clinton
2847,39182384,Minnesota,,Post-grad,Married,"$20,000 - $29,999",Evan McMullin
2848,39191480,Kentucky,,4-year,Widowed,"$50,000 - $59,999",Donald Trump
2849,39203546,Iowa,,Some college,Married,"$70,000 - $79,999",Gary Johnson
2850,39219749,West Virginia,,Post-grad,Married,Prefer not to say,Donald Trump
2851,39274982,Texas,,4-year,Married,"$100,000 - $119,999",Donald Trump
2852,39293240,Florida,,4-year,Single,"$40,000 - $49,999",Donald Trump
2853,39315152,Virginia,,2-year,Single,"$80,000 - $99,999",Hillary Clinton
2854,39324203,Florida,,2-year,Married,"$70,000 - $79,999",Donald Trump
2855,39327443,Kentucky,,4-year,Married,"$100,000 - $119,999",Donald Trump
2856,39358487,California,,Some college,Married,Prefer not to say,Donald Trump
2857,39377960,Florida,,4-year,Divorced,"$70,000 - $79,999",Hillary Clinton
2858,39380633,Montana,,Post-grad,Married,"$80,000 - $99,999",Donald Trump
2859,39409409,North Carolina,,Post-grad,Married,"$80,000 - $99,999",Hillary Clinton
2860,39431342,Oklahoma,,2-year,Married,"$20,000 - $29,999",Donald Trump
2861,39458645,Florida,,2-year,Widowed,"$10,000 - $19,999",Jill Stein
2862,39472715,Idaho,,4-year,Single,Prefer not to say,Hillary Clinton
2863,39494234,North Dakota,,2-year,Married,"$50,000 - $59,999",Gary Johnson
2864,39514712,New Hampshire,,Post-grad,Married,Prefer not to say,Other
2865,39530048,Arizona,,High school graduate,Married,Prefer not to say,Donald Trump
2866,39547406,New York,,High school graduate,Domestic partnership,"$150,000 - $199,999",Donald Trump
2867,39580550,California,,Some college,Married,Prefer not to say,Donald Trump
2868,39583091,California,,4-year,Married,"$120,000 - $149,999",Donald Trump
2869,39588137,Florida,,Some college,Single,"$30,000 - $39,999",Hillary Clinton
2870,39593279,Massachusetts,,2-year,Married,Prefer not to say,Donald Trump
2871,39595583,Arkansas,,High school graduate,Married,"$40,000 - $49,999",Donald Trump
2872,39599048,Maine,,High school graduate,Divorced,"$20,000 - $29,999",Donald Trump
2873,39624071,South Carolina,,Some college,Married,"Less than $10,000",Donald Trump
2874,39638552,Florida,,4-year,Married,"$150,000 - $199,999",Donald Trump
2875,39667658,Pennsylvania,,Some college,Married,"$100,000 - $119,999",Donald Trump
2876,39698732,Wyoming,,High school graduate,Widowed,"$70,000 - $79,999",Hillary Clinton
2877,39702488,Ohio,,2-year,Separated,"Less than $10,000",Other
2878,39721364,Arkansas,,Some college,Divorced,"$100,000 - $119,999",Hillary Clinton
2879,39736577,Michigan,,Some college,Widowed,"$10,000 - $19,999",Hillary Clinton
2880,39741014,Florida,,4-year,Married,"$120,000 - $149,999",Hillary Clinton
2881,39768143,Texas,,Post-grad,Single,"$200,000 - $249,999",Hillary Clinton
2882,39777353,Oregon,,4-year,Domestic partnership,"$80,000 - $99,999",Hillary Clinton
2883,39842660,New York,,High school graduate,Married,"$40,000 - $49,999",Donald Trump
2884,39843677,Virginia,,Post-grad,Single,"$50,000 - $59,999",Hillary Clinton
2885,39897890,Tennessee,,High school graduate,Single,Prefer not to say,Donald Trump
2886,39900722,Michigan,,4-year,Married,Prefer not to say,Donald Trump
2887,39926270,Alabama,,4-year,Married,"$50,000 - $59,999",Hillary Clinton
2888,39929822,New Jersey,,2-year,Married,"$120,000 - $149,999",Hillary Clinton
2889,39930518,New Jersey,,High school graduate,Married,"$50,000 - $59,999",Donald Trump
2890,39933431,Arizona,,2-year,Widowed,Prefer not to say,Hillary Clinton
2891,39984704,Tennessee,,High school graduate,Married,"Less than $10,000",Donald Trump
2892,39985253,Indiana,,2-year,Married,"$70,000 - $79,999",Hillary Clinton
2893,39990212,Florida,,2-year,Married,"$20,000 - $29,999",Hillary Clinton
2894,39997835,Michigan,,Some college,Married,"$100,000 - $119,999",Donald Trump
2895,40004381,Oregon,,High school graduate,Widowed,"$30,000 - $39,999",Hillary Clinton
2896,40006139,Indiana,,High school graduate,Married,"$40,000 - $49,999",Donald Trump
2897,40015028,Illinois,,Post-grad,Married,Prefer not to say,Other
2898,40024040,Texas,,Some college,Married,"$60,000 - $69,999",Donald Trump
2899,40038344,Massachusetts,,2-year,Separated,"$20,000 - $29,999",Hillary Clinton
2900,40040165,Texas,,Some college,Married,"$120,000 - $149,999",Hillary Clinton
2901,40060511,Ohio,,High school graduate,Married,"$80,000 - $99,999",Donald Trump
2902,40060874,Missouri,,High school graduate,Separated,"Less than $10,000",Donald Trump
2903,40072310,Florida,,4-year,Married,"$120,000 - $149,999",Hillary Clinton
2904,40072853,Arkansas,,Some college,Widowed,"$50,000 - $59,999",Donald Trump
2905,40075175,Missouri,,High school graduate,Married,"$30,000 - $39,999",Donald Trump
2906,40077362,Michigan,,High school graduate,Domestic partnership,"$20,000 - $29,999",Hillary Clinton
2907,40078835,New York,,High school graduate,Married,"$60,000 - $69,999",Donald Trump
2908,40079753,Massachusetts,,Some college,Married,"$60,000 - $69,999",
2909,40087100,Pennsylvania,,Post-grad,Single,"$70,000 - $79,999",Donald Trump
2910,40092053,Louisiana,,2-year,Married,"$40,000 - $49,999",Hillary Clinton
2911,40093655,Vermont,,4-year,Widowed,"$60,000 - $69,999",Gary Johnson
2912,40094963,New Hampshire,,4-year,Married,"$50,000 - $59,999",Donald Trump
2913,40100783,Illinois,,2-year,Married,"$80,000 - $99,999",Hillary Clinton
2914,40104191,California,,Post-grad,Divorced,"$30,000 - $39,999",Donald Trump
2915,40104320,Pennsylvania,,Some college,Married,"$50,000 - $59,999",Donald Trump
2916,40108982,Kansas,,2-year,Widowed,"$10,000 - $19,999",Hillary Clinton
2917,40113248,Florida,,Some college,Married,"$80,000 - $99,999",Hillary Clinton
2918,40120040,Wisconsin,,Some college,Single,"$70,000 - $79,999",Hillary Clinton
2919,40120745,Tennessee,,High school graduate,Married,Prefer not to say,Donald Trump
2920,40127228,Illinois,,4-year,Married,"$60,000 - $69,999",Hillary Clinton
2921,40130795,New York,,Some college,Single,"$30,000 - $39,999",Hillary Clinton
2922,40137902,Georgia,,Some college,Married,"$30,000 - $39,999",Hillary Clinton
2923,40143599,Michigan,,High school graduate,Domestic partnership,"$50,000 - $59,999",Hillary Clinton
2924,40144328,California,,4-year,Single,"$40,000 - $49,999",Donald Trump
2925,40145153,Illinois,,High school graduate,Married,"$10,000 - $19,999",
2926,40150631,California,,Some college,Married,"$80,000 - $99,999",Hillary Clinton
2927,40156868,Michigan,,High school graduate,Married,Prefer not to say,
2928,40160648,California,,4-year,Single,"$40,000 - $49,999",Donald Trump
2929,40161218,Georgia,,2-year,Single,"$10,000 - $19,999",Hillary Clinton
2930,40161518,New Hampshire,,Some college,Divorced,"$30,000 - $39,999",Donald Trump
2931,40161593,Iowa,,No HS,Married,"$20,000 - $29,999",Donald Trump
2932,40163129,Ohio,,2-year,Married,"$40,000 - $49,999",Donald Trump
2933,40163972,Indiana,,High school graduate,Married,"$30,000 - $39,999",Hillary Clinton
2934,40167617,Arkansas,,Some college,Divorced,"$80,000 - $99,999",Donald Trump
2935,40176440,California,,4-year,Single,"$20,000 - $29,999",Gary Johnson
2936,40178525,Montana,,Some college,Separated,"$50,000 - $59,999",Donald Trump
2937,40179278,Georgia,,4-year,Divorced,"$20,000 - $29,999",Donald Trump
2938,40181921,Pennsylvania,,Some college,Widowed,"$10,000 - $19,999",Hillary Clinton
2939,40183538,New York,,2-year,Widowed,"$20,000 - $29,999",
2940,40183550,New York,,4-year,Married,"$80,000 - $99,999",Donald Trump
2941,40184033,California,,High school graduate,Domestic partnership,"$40,000 - $49,999",
2942,40187207,Texas,,High school graduate,Divorced,"$10,000 - $19,999",Hillary Clinton
2943,40187399,Michigan,,High school graduate,Married,"$20,000 - $29,999",Hillary Clinton
2944,40190330,Virginia,,2-year,Married,"$100,000 - $119,999",Hillary Clinton
2945,40191434,Pennsylvania,,High school graduate,Married,"$80,000 - $99,999",Donald Trump
2946,40192811,New York,,Some college,Married,"$60,000 - $69,999",Other
2947,40192913,New York,,Some college,Married,"$60,000 - $69,999",Donald Trump
2948,40195775,Arizona,,4-year,Married,"$30,000 - $39,999",Donald Trump
2949,40196456,Mississippi,,Some college,Domestic partnership,"$10,000 - $19,999",Hillary Clinton
2950,40196471,Oregon,,4-year,Married,"$40,000 - $49,999",Hillary Clinton
2951,40196915,Florida,,High school graduate,Married,"$20,000 - $29,999",
2952,40200326,Michigan,,High school graduate,Married,"$80,000 - $99,999",Hillary Clinton
2953,40200821,Maryland,,High school graduate,Widowed,"$10,000 - $19,999",
2954,40200974,Tennessee,,High school graduate,Married,"$60,000 - $69,999",Donald Trump
2955,40204976,Illinois,,High school graduate,Single,"Less than $10,000",Did not vote for President
2956,40205198,Georgia,,4-year,Single,Prefer not to say,Hillary Clinton
2957,40206293,Texas,,2-year,Divorced,"$40,000 - $49,999",Hillary Clinton
2958,40206806,New Jersey,,Post-grad,Married,"$120,000 - $149,999",Donald Trump
2959,40207490,Texas,,Some college,Divorced,"$40,000 - $49,999",
2960,40212107,Washington,,4-year,Single,"$10,000 - $19,999",Donald Trump
2961,40213052,Georgia,,High school graduate,Married,"$70,000 - $79,999",
2962,40218674,Pennsylvania,,2-year,Married,"$100,000 - $119,999",Donald Trump
2963,40227683,Nebraska,,High school graduate,Widowed,"$60,000 - $69,999",Donald Trump
2964,40249466,Virginia,,Some college,Divorced,"$20,000 - $29,999",
2965,40251062,Massachusetts,,4-year,Married,"$80,000 - $99,999",Donald Trump
2966,40260557,Oregon,,Some college,Married,"$120,000 - $149,999",Hillary Clinton
2967,40263425,Michigan,,4-year,Married,"$120,000 - $149,999",Donald Trump
2968,40279067,Oregon,,Some college,Widowed,"$40,000 - $49,999",Donald Trump
2969,40279526,Ohio,,High school graduate,Married,"$40,000 - $49,999",Hillary Clinton
2970,40286642,Pennsylvania,,4-year,Married,"$60,000 - $69,999",Hillary Clinton
2971,40287452,Arizona,,Some college,Divorced,"$30,000 - $39,999",Donald Trump
2972,40297724,Florida,,4-year,Married,"$50,000 - $59,999",Donald Trump
2973,40303622,Indiana,,Some college,Married,"$10,000 - $19,999",Hillary Clinton
2974,40305293,Colorado,,Post-grad,Married,"$250,000 - $349,999",Donald Trump
2975,40310450,Florida,,4-year,Single,"$30,000 - $39,999",Hillary Clinton
2976,40315109,Florida,,4-year,Divorced,"$30,000 - $39,999",Donald Trump
2977,40325078,Nevada,,High school graduate,Domestic partnership,"$20,000 - $29,999",Hillary Clinton
2978,40325705,Virginia,,4-year,Married,"$250,000 - $349,999",Donald Trump
2979,40326494,Washington,,Post-grad,Married,"$80,000 - $99,999",Other
2980,40327862,Ohio,,Some college,Married,"$80,000 - $99,999",Donald Trump
2981,40327946,New York,,Some college,Married,"$80,000 - $99,999",Hillary Clinton
2982,40328123,Oklahoma,,Post-grad,Married,"$80,000 - $99,999",Hillary Clinton
2983,40328804,Iowa,,High school graduate,Married,"$30,000 - $39,999",Donald Trump
2984,40329626,North Carolina,,4-year,Domestic partnership,Prefer not to say,Donald Trump
2985,40331078,Michigan,,Some college,Single,"$10,000 - $19,999",Hillary Clinton
2986,40337444,Pennsylvania,,2-year,Married,"$40,000 - $49,999",Donald Trump
2987,40339931,Michigan,,4-year,Single,"$20,000 - $29,999",Hillary Clinton
2988,40347221,Maryland,,Some college,Divorced,"$20,000 - $29,999",Hillary Clinton
2989,40353575,Pennsylvania,,2-year,Married,"$60,000 - $69,999",Hillary Clinton
2990,40354757,Washington,,4-year,Widowed,"$10,000 - $19,999",Jill Stein
2991,40354784,Massachusetts,,4-year,Single,"$60,000 - $69,999",Donald Trump
2992,40359434,Texas,,4-year,Married,"$150,000 - $199,999",Hillary Clinton
2993,40364525,Georgia,,High school graduate,Married,"$150,000 - $199,999",Donald Trump
2994,40384754,Arizona,,Some college,Married,"$20,000 - $29,999",Donald Trump
2995,40414403,Colorado,,High school graduate,Married,"$60,000 - $69,999",Hillary Clinton
2996,40426304,New York,,High school graduate,Widowed,"$10,000 - $19,999",Hillary Clinton
2997,40439027,Michigan,,Some college,Widowed,"$30,000 - $39,999",Hillary Clinton
2998,40439591,Arkansas,,No HS,Widowed,"$40,000 - $49,999",Hillary Clinton
2999,40445840,Illinois,,High school graduate,Married,"$50,000 - $59,999",Hillary Clinton
3000,40450094,Florida,,4-year,Married,"$150,000 - $199,999",Donald Trump
3001,40453106,West Virginia,,High school graduate,Married,"$40,000 - $49,999",Hillary Clinton
3002,40470722,Missouri,,High school graduate,Married,"$50,000 - $59,999",Donald Trump
3003,40483529,Minnesota,,2-year,Divorced,"$10,000 - $19,999",Donald Trump
3004,40489901,Maryland,,4-year,Married,"$120,000 - $149,999",Donald Trump
3005,40493270,Arizona,,High school graduate,Married,"$60,000 - $69,999",Donald Trump
3006,40499363,California,,Some college,Married,"$80,000 - $99,999",Hillary Clinton
3007,40516910,Connecticut,,4-year,Widowed,Prefer not to say,Hillary Clinton
3008,40537901,Florida,,High school graduate,Widowed,"$40,000 - $49,999",Hillary Clinton
3009,40541819,Missouri,,Post-grad,Married,"$150,000 - $199,999",Donald Trump
3010,40542689,Connecticut,,Some college,Married,Prefer not to say,Donald Trump
3011,40543508,Texas,,Post-grad,Divorced,"$80,000 - $99,999",Hillary Clinton
3012,40554548,Florida,,4-year,Married,"$80,000 - $99,999",Hillary Clinton
3013,40555913,Nebraska,,High school graduate,Married,"$60,000 - $69,999",Donald Trump
3014,40557962,Florida,,4-year,Married,"$120,000 - $149,999",Hillary Clinton
3015,40559867,Texas,,4-year,Single,"$40,000 - $49,999",Donald Trump
3016,40562240,Delaware,,High school graduate,Divorced,"$10,000 - $19,999",Hillary Clinton
3017,40568726,Arizona,,High school graduate,Married,"$30,000 - $39,999",Other
3018,40571054,Arizona,,Post-grad,Married,"$150,000 - $199,999",Hillary Clinton
3019,40575965,Texas,,High school graduate,Married,"$80,000 - $99,999",
3020,40579322,Massachusetts,,High school graduate,Widowed,"$20,000 - $29,999",Hillary Clinton
3021,40582934,Florida,,2-year,Married,"$100,000 - $119,999",Donald Trump
3022,40588859,Florida,,Post-grad,Divorced,Prefer not to say,Donald Trump
3023,40594904,Texas,,Some college,Domestic partnership,"$70,000 - $79,999",Jill Stein
3024,40598729,Utah,,Some college,Single,"$10,000 - $19,999",
3025,40599101,North Carolina,,High school graduate,Domestic partnership,"$50,000 - $59,999",
3026,40599677,Pennsylvania,,2-year,Married,"$60,000 - $69,999",Donald Trump
3027,40599911,Florida,,High school graduate,Divorced,"Less than $10,000",Donald Trump
3028,40600439,Arizona,,4-year,Domestic partnership,"$50,000 - $59,999",Hillary Clinton
3029,40600490,Texas,,High school graduate,Married,"$200,000 - $249,999",
3030,40600580,Florida,,High school graduate,Married,"$60,000 - $69,999",Hillary Clinton
3031,40601222,Florida,,4-year,Married,"$100,000 - $119,999",Donald Trump
3032,40601516,Florida,,4-year,Married,"$20,000 - $29,999",
3033,40602296,Florida,,Post-grad,Married,"$100,000 - $119,999",Hillary Clinton
3034,40602350,Florida,,4-year,Married,"$70,000 - $79,999",Donald Trump
3035,40605314,Florida,,Some college,Married,"$60,000 - $69,999",Donald Trump
3036,40605611,Texas,,High school graduate,Married,"$60,000 - $69,999",Hillary Clinton
3037,40606370,Texas,,4-year,Married,"$80,000 - $99,999",Hillary Clinton
3038,40606526,Texas,,Some college,Married,"$40,000 - $49,999",Donald Trump
3039,40606631,Florida,,2-year,Domestic partnership,Prefer not to say,Hillary Clinton
3040,40606715,Florida,,Some college,Married,"$60,000 - $69,999",Donald Trump
3041,40608269,Texas,,4-year,Single,"$120,000 - $149,999",Donald Trump
3042,40608950,Arizona,,4-year,Married,"$100,000 - $119,999",Donald Trump
3043,40610045,Florida,,4-year,Single,"$150,000 - $199,999",Other
3044,40613570,Texas,,Some college,Married,"$30,000 - $39,999",Hillary Clinton
3045,40615007,California,,4-year,Single,"$70,000 - $79,999",Gary Johnson
3046,40615250,Washington,,Post-grad,Single,Prefer not to say,
3047,40617971,Texas,,High school graduate,Single,"$10,000 - $19,999",Donald Trump
3048,40618190,Florida,,4-year,Married,"$40,000 - $49,999",Hillary Clinton
3049,40618334,Ohio,,Post-grad,Divorced,"$70,000 - $79,999",Donald Trump
3050,40619201,Massachusetts,,High school graduate,Married,"$80,000 - $99,999",Donald Trump
3051,40620866,Texas,,4-year,Married,"$50,000 - $59,999",Donald Trump
3052,40621412,Texas,,Some college,Married,"$100,000 - $119,999",Gary Johnson
3053,40622141,Idaho,,Some college,Divorced,"$30,000 - $39,999",Jill Stein
3054,40622468,California,,Some college,Married,"$60,000 - $69,999",Hillary Clinton
3055,40623572,Florida,,High school graduate,Married,"$70,000 - $79,999",Hillary Clinton
3056,40626839,Florida,,Some college,Single,"$80,000 - $99,999",Hillary Clinton
3057,40627799,Florida,,High school graduate,Married,"$10,000 - $19,999",Donald Trump
3058,40627982,Texas,,High school graduate,Divorced,"$20,000 - $29,999",
3059,40633967,Florida,,2-year,Single,"$60,000 - $69,999",Hillary Clinton
